,STN,YEARMODA,TEMP,DIFF,PRCP,GUST
1485,722975,1983-11-30,66.06000000000002,15.568965517241379,0.08866666666666667,17.625
1486,722975,1984-11-30,63.32666666666668,16.117241379310343,0.004666666666666667,18.1
1487,722975,1985-11-30,62.961290322580645,14.245161290322581,0.036000000000000004,26.066666666666666
1488,722975,1986-11-30,69.0551724137931,18.796551724137935,0.0027586206896551726,24.1
1489,722975,1987-11-30,67.07666666666665,17.036666666666665,0.018000000000000002,
1490,722975,1988-11-30,65.54333333333334,16.756666666666668,0.004137931034482759,21.0
1491,722975,1989-11-30,69.64838709677419,20.196774193548386,0.0,28.775
1492,722975,1990-11-30,68.54285714285716,21.75357142857143,0.0,18.1
1493,722975,1991-11-30,67.65517241379311,21.944827586206895,0.0,21.68
1494,722975,1992-11-30,69.04333333333334,19.330000000000002,0.0,26.65
1495,722975,1993-11-30,67.1741935483871,18.132258064516133,0.0,
1496,722975,1994-11-30,62.69333333333334,18.430000000000003,0.0,24.32
1497,722975,1995-11-30,65.42999999999999,14.973333333333338,0.010333333333333333,
1498,722975,1996-11-30,66.48571428571428,16.264285714285716,0.0,23.9
1499,722975,1997-11-30,68.884,16.668000000000003,0.043043478260869565,30.9
1500,722975,1998-11-30,64.89310344827587,20.57586206896552,0.005517241379310345,
1501,722975,1999-11-30,66.85,17.24,0.00037037037037037035,22.0
1502,722975,2000-11-30,66.39999999999999,12.126315789473685,0.0,
1503,722975,2001-11-30,65.02333333333334,16.26,0.02642857142857143,
1504,722975,2002-11-30,69.4793103448276,19.737931034482763,0.039642857142857146,18.1
1505,722975,2003-11-30,63.74482758620689,18.7448275862069,0.013214285714285715,
1506,722975,2004-11-30,64.98666666666665,15.600000000000003,0.01689655172413793,22.0
1507,722975,2005-11-30,70.33793103448275,18.000000000000004,0.00793103448275862,20.5
1508,722975,2006-11-30,64.97241379310346,17.44137931034483,0.0020689655172413794,26.5
1509,722975,2007-11-30,62.50000000000001,15.364285714285712,0.014285714285714287,24.1
1510,722975,2008-11-30,62.036666666666676,23.746666666666663,0.07366666666666664,22.366666666666664
1511,722975,2009-11-30,59.54193548387096,26.848387096774196,0.0003225806451612903,18.55
1512,722975,2010-11-30,58.38000000000001,24.85333333333334,0.017333333333333333,21.85
1513,722975,2011-11-30,57.14000000000001,22.0,0.04066666666666666,20.96
1514,722975,2012-11-30,60.24333333333335,20.740000000000002,0.011666666666666665,22.333333333333332
1515,722975,2013-11-30,60.373333333333335,27.183333333333334,0.018000000000000002,19.0
1516,722975,2014-11-30,62.763333333333335,29.386666666666663,0.013000000000000001,22.725
1517,722975,2015-11-30,66.7,31.700000000000006,0.0,
1518,722976,1981-11-30,65.98333333333335,16.41333333333333,0.0,24.9
1519,722976,1982-11-30,,,,
1520,722976,1983-11-30,62.769999999999996,18.29,0.0,27.4
1521,722976,1984-11-30,60.843333333333334,18.413333333333334,0.0,20.05
1522,722976,1985-11-30,60.82580645161289,15.43225806451613,0.0,24.0
1523,722976,1986-11-30,66.75,23.034482758620694,0.0,18.1
1524,722976,1987-11-30,64.57,18.980000000000004,0.0,
1525,722976,1988-11-30,61.379999999999995,18.43,0.0,22.0
1526,722976,1989-11-30,66.98387096774194,24.406451612903226,0.0,28.775
1527,722976,1990-11-30,65.85666666666665,23.96,0.0,
1528,722976,1991-11-30,65.93333333333334,25.000000000000007,0.0,
1529,722976,1992-11-30,65.90333333333332,23.290000000000003,0.0,27.4
1530,722976,1993-11-30,65.42758620689654,19.80344827586207,0.0,
1531,722976,1994-11-30,60.093333333333334,21.093333333333337,0.0,24.9
1532,722976,1995-11-30,66.02857142857142,18.700000000000006,0.0,
1533,722976,1996-11-30,65.36,19.560000000000002,0.0,19.0
1534,722976,1997-11-30,66.412,18.431999999999995,0.0,26.0
1535,722976,1998-11-30,58.243333333333325,24.92,0.04566666666666667,18.45
1536,722976,1999-11-30,60.03,25.766666666666673,0.004666666666666667,20.05
1537,722976,2000-11-30,56.76000000000001,26.853333333333335,0.009666666666666667,17.6
1538,722976,2001-11-30,59.7741935483871,21.735483870967744,0.0467741935483871,22.5
1539,722976,2002-11-30,63.00666666666668,28.020000000000003,0.030000000000000006,20.02
1540,722976,2003-11-30,59.216666666666676,24.586666666666662,0.008333333333333333,19.066666666666666
1541,722976,2004-11-30,57.81666666666664,23.52,0.023666666666666673,20.95
1542,722976,2005-11-30,62.55161290322582,28.590322580645164,0.004516129032258065,19.4
1543,722976,2006-11-30,62.823333333333316,26.026666666666674,0.005,26.0
