STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
722900 23188  19810221    66.6 24    41.5 24  1015.6 24  1014.3  8   12.3 24    4.8 24   11.8  999.9    82.0*   54.9   0.00D 999.9  000000 
722900 23188  19810222    65.9 22    28.1 22  1019.7 22  1018.7  8   17.9 22    4.5 22   14.0  999.9    82.9    52.9   0.00D 999.9  000000 
722900 23188  19810223    63.9 24    40.0 24  1015.2 24  1014.4  8   17.2 24    5.2 22   13.0  999.9    79.9    50.9   0.00D 999.9  000000 
722900 23188  19810224    62.5 24    53.3 24  1012.2 24  1011.2  8   11.6 24    5.1 24   11.8  999.9    70.9    59.0   0.00D 999.9  000000 
722900 23188  19810225    61.6 24    48.0 24  1012.2 24  1011.0  8   13.8 24    8.5 24   13.0  999.9    66.9    59.0   0.00D 999.9  000000 
722900 23188  19810226    58.7 24    47.3 24  1015.7 24  1014.4  8   16.4 24   10.7 24   17.1   23.9    64.0*   54.0   0.98G 999.9  110010 
722900 23188  19810227    57.4 24    44.9 24  1015.8 24  1015.0  8   13.6 24    6.1 24   15.9  999.9    66.0*   46.9   0.00G 999.9  000000 
722900 23188  19810228    58.9 24    50.8 24  1014.8 24  1013.8  8   10.1 24    6.4 24   12.0  999.9    65.8    54.9   0.04D 999.9  010000 
722900 23188  19810301    59.4 23    55.5 23  1011.9 23  1011.1  8    9.5 23   10.5 23   16.9   23.9    61.9    57.9*  1.73D 999.9  110000 
722900 23188  19810302    58.8 24    52.5 23  1010.5 24  1009.6  8   14.6 24    8.6 24   15.0  999.9    64.0*   54.0   0.55D 999.9  010000 
722900 23188  19810303    56.7 24    49.6 24  1009.9 24  1008.7  8   16.0 24    4.6 24    9.9  999.9    64.9*   48.9   0.04G 999.9  010000 
722900 23188  19810304    60.8 23    52.0 23  1013.4 23  1012.3  8   14.7 23    6.6 23   10.9  999.9    64.9    56.8   0.02G 999.9  000000 
722900 23188  19810305    56.9 23    49.3 23  1004.5 22  1004.2  8    9.6 23   13.2 23   18.1   24.9    64.9    50.9   0.39G 999.9  110000 
722900 23188  19810306    55.9 24    47.9 24  1009.5 24  1008.1  8   15.6 24   11.2 24   15.9   25.8    63.0*   52.0   0.87G 999.9  010000 
722900 23188  19810307    59.9 24    51.7 24  1018.7 24  1017.4  8   17.2 24    5.6 24   11.8  999.9    66.0*   55.9   0.00G 999.9  000000 
722900 23188  19810308    60.6 23    51.6 23  1020.8 23  1019.8  8   11.9 23    6.3 23   14.0  999.9    69.1*   52.9   0.00D 999.9  000000 
722900 23188  19810309    62.5 24    51.2 24  1019.7 24  1018.8  8    8.3 24    5.5 24   13.0  999.9    70.0*   52.9   0.00D 999.9  000000 
722900 23188  19810310    63.7 24    50.0 24  1018.2 24  1017.3  8   10.2 24    3.7 24   12.0  999.9    72.0*   54.9   0.00D 999.9  000000 
722900 23188  19810311    63.0 24    56.6 24  1016.8 24  1015.7  8    6.0 24    5.7 23    9.9  999.9    72.0    56.8   0.00D 999.9  100000 
722900 23188  19810312    62.6 22    52.2 22  1019.4 22  1018.2  8   12.7 22    6.4 22   15.9  999.9    66.9    59.9   0.00D 999.9  000000 
722900 23188  19810313    61.6 24    49.8 24  1020.0 24  1018.9  8   14.9 24    8.9 24   19.8   25.8    66.9    59.0   0.00D 999.9  000000 
722900 23188  19810314    58.7 24    48.9 24  1020.3 24  1019.3  8   14.0 24   10.0 24   19.0   22.0    64.9*   54.9   0.08G 999.9  010000 
722900 23188  19810315    59.8 24    49.6 24  1020.2 24  1019.3  8   11.8 24    6.5 24   17.1  999.9    69.1*   50.9   0.00G 999.9  000000 
722900 23188  19810316    62.2 24    54.9 24  1020.1 24  1019.0  8   12.1 24    5.7 24   14.0  999.9    68.9    54.9   0.00D 999.9  000000 
722900 23188  19810317    61.3 24    55.6 24  1018.9 24  1018.0  8   11.4 24    6.1 24   11.8  999.9    69.1*   56.8   0.00D 999.9  000000 
722900 23188  19810318    61.6 24    54.4 24  1016.6 24  1015.6  8   10.7 24    5.9 24   11.1  999.9    69.1*   54.9   0.00D 999.9  000000 
722900 23188  19810319    61.7 23    55.1 23  1014.1 23  1013.2  8   11.3 23    5.7 23   11.8  999.9    68.9    57.9   0.00D 999.9  000000 
722900 23188  19810320    61.7 24    54.8 24  1011.5 24  1010.4  8   14.9 24    9.3 24   15.9  999.9    68.9    59.0   0.63G 999.9  110000 
722900 23188  19810321    60.3 24    48.5 24  1017.5 24  1016.2  8   17.8 24    7.1 24   15.9  999.9    66.0*   52.9   0.00G 999.9  000000 
722900 23188  19810322    62.6 24    55.2 24  1022.3 24  1020.9  8   14.0 24    7.9 24   15.0  999.9    70.0*   55.0*  0.00D 999.9  000000 
722900 23188  19810323    64.6 24    58.0 24  1020.1 24  1019.3  8   11.1 24    8.7 23   15.0  999.9    70.9    61.9   0.00D 999.9  010000 
722900 23188  19810324    63.7 24    57.2 24  1018.2 24  1017.2  8    7.4 24    5.8 24   11.1  999.9    71.1*   57.9   0.00D 999.9  000000 
